trade_date,index_code,index_name_cn,open,high,low,close,change,change_pct,trading_volume,trading_value
20060524,930955,红利低波100,1441.84,1455.16,1383.57,1406.33,,-2.36,1821.42,90.52
20060525,930955,红利低波100,1405.39,1418.42,1389.47,1413.07,,0.48,1336.67,62.0
20060526,930955,红利低波100,1419.32,1444.82,1419.32,1444.82,,2.25,1399.55,66.13
20060529,930955,红利低波100,1453.72,1490.41,1446.74,1490.41,,3.16,1699.22,87.69
20060530,930955,红利低波100,1497.71,1504.75,1485.68,1503.19,,0.86,1549.97,78.6
20060531,930955,红利低波100,1500.69,1512.53,1485.63,1493.62,,-0.64,1616.14,82.15
20060601,930955,红利低波100,1499.26,1547.08,1499.26,1547.08,,3.58,1894.6,98.18
20060602,930955,红利低波100,1550.54,1567.74,1538.88,1547.63,,0.04,2166.83,109.75
20060605,930955,红利低波100,1555.68,1573.14,1532.3,1573.14,,1.65,2210.31,102.46
20060606,930955,红利低波100,1573.13,1580.54,1562.54,1567.34,,-0.37,1735.05,83.18
20060607,930955,红利低波100,1568.51,1568.51,1466.83,1467.04,,-6.4,2026.07,111.79
20060608,930955,红利低波100,1452.33,1467.2,1419.3,1467.01,,0.0,1575.51,82.76
20060609,930955,红利低波100,1463.91,1475.03,1437.61,1437.75,,-1.99,1219.46,60.76
20060612,930955,红利低波100,1431.89,1451.72,1431.89,1445.5,,0.54,846.97,42.62
20060613,930955,红利低波100,1444.96,1458.58,1432.32,1446.45,,0.07,820.5,44.3
20060614,930955,红利低波100,1441.27,1441.27,1419.98,1433.33,,-0.91,862.04,44.37
20060615,930955,红利低波100,1433.8,1448.48,1428.8,1431.89,,-0.1,683.58,35.05
20060616,930955,红利低波100,1438.13,1456.23,1438.13,1456.23,,1.7,829.35,43.34
20060619,930955,红利低波100,1446.76,1478.13,1446.76,1474.09,,1.23,985.19,53.38
20060620,930955,红利低波100,1472.48,1478.87,1466.03,1478.79,,0.32,905.3,51.09
20060621,930955,红利低波100,1477.52,1486.52,1465.81,1478.08,,-0.05,1122.57,58.3
20060622,930955,红利低波100,1476.21,1481.64,1470.6,1475.54,,-0.17,851.62,45.11
20060623,930955,红利低波100,1469.26,1483.31,1457.83,1483.31,,0.53,755.57,40.26
20060626,930955,红利低波100,1484.06,1507.19,1484.06,1506.84,,1.59,1006.89,53.6
